ra,dec,z_av
150.1443971411195,2.351901093362155,4.4805
150.14830496043314,2.351885164777428,4.4805
150.1466015630295,2.3518912201479916,4.4805
150.14599831981405,2.356368703619586,4.4805
150.14789087877693,2.3543415054684615,4.4805
150.14676574137454,2.3526180195797495,4.4805
150.14421266584932,2.3548735320804113,4.4805
150.1485982708024,2.3566315453747215,4.4805
150.14396731817664,2.3566322025099407,4.4805
150.1448857922141,2.3537444998734642,4.4805
150.14490397878077,2.355674527375211,4.4805
150.1446146221882,2.3563892413998495,4.4805
150.1479054303318,2.353472486183035,4.4805
150.1479448408418,2.3536465286936457,4.4805
150.14792081464233,2.351899032001565,4.4805
150.14835268255632,2.3566638475749944,4.4805
150.145500392224,2.356652445523207,4.4805
150.14409258300037,2.3559068629392286,4.4805
150.14620162758595,2.3566643595241015,4.4805
150.1460673480115,2.3557169759415086,4.4805
150.14796453428983,2.3533330403819117,4.4805
150.1478502305963,2.355836927922414,4.4805
150.1457606343941,2.355964613419439,4.4805
150.14626850642938,2.3563173594511952,4.4805
150.1440061498705,2.3522226734020397,4.4805
150.148162854916,2.3557103561628643,4.4805
150.14453206964157,2.3543976982969492,4.4805
150.1442826860561,2.353854683949542,4.4805
150.14388955575515,2.3536867885837434,4.4805
150.14679425946468,2.351939963887796,4.4805
150.14450399530025,2.3536364337127242,4.4805
150.14766346862362,2.3526401742395784,4.4805
150.14858594540542,2.3549213763477534,4.4805
150.14777372420352,2.35567318843305,4.4805
150.14659250775293,2.3521658132950596,4.4805
150.1444952068211,2.353595991225919,4.4805
150.1486733380839,2.356048550168647,4.4805
150.14624982784343,2.3563987542788065,4.4805
150.14519777349545,2.3560619179855595,4.4805
150.14532744571176,2.352663085039225,4.4805
150.14718984976125,2.351943710894104,4.4805
150.14442823978976,2.355162575327606,4.4805
150.14534872853451,2.3560782180333875,4.4805
150.14534277378868,2.3529015050250894,4.4805
150.14832922015086,2.354956800292246,4.4805
150.14768553039465,2.352705048762538,4.4805
150.1474352569808,2.353397238676863,4.4805
150.14541908556748,2.3566670909595655,4.4805
150.14392605219683,2.35402821389535,4.4805
150.14840279453446,2.3565214063686337,4.4805
150.1466389188908,2.355499586522889,4.4805
150.14432282423985,2.3541302662244767,4.4805
150.1439725540298,2.3560458519826413,4.4805
150.1445392358825,2.355755979648968,4.4805
150.14764334329374,2.3562915726997433,4.4805
150.14440917999562,2.3564876764613527,4.4805
150.14478705927368,2.35685142376315,4.4805
150.1473967263277,2.3549537470902377,4.4805
150.14700349419547,2.3567104939321903,4.4805
150.14801307573322,2.3535245434427217,4.4805
150.14639331614632,2.356433511495387,4.4805
150.14626849050285,2.35207545131106,4.4805
150.14842638871266,2.3560574022872878,4.4805
150.1475915218611,2.356497750082597,4.4805
150.14502475355226,2.3526865647467226,4.4805
150.14433032738856,2.353383560523096,4.4805
150.14441556205247,2.354761050209654,4.4805
150.14794836178316,2.356513912517617,4.4805
150.148676850142,2.35449095149574,4.4805
150.14746510052979,2.3524863248683707,4.4805
150.14447533712234,2.3555372416123004,4.4805
150.14864030618497,2.356074344453371,4.4805
150.14427430387835,2.3537484400705853,4.4805
150.1475802411748,2.3525866639977298,4.4805
150.14376046905784,2.3526145498866478,4.4805
150.1438806599531,2.353379071693511,4.4805
150.14443079359143,2.3563297560347136,4.4805
150.14681728840202,2.3568420354208746,4.4805
150.14393013184272,2.355606933673145,4.4805
150.14565260932173,2.3525355435678956,4.4805
150.14454424892972,2.3538109629040442,4.4805
150.14520639048314,2.356680218407004,4.4805
150.14691526471415,2.356170009832844,4.4805
150.14679522075804,2.353226668542649,4.4805
150.14376705710433,2.35466284711482,4.4805
150.14663523524027,2.352070738565113,4.4805
150.14606905591614,2.352307274237049,4.4805
150.1478628301803,2.3551888598996693,4.4805
150.14869325920623,2.3535483746101136,4.4805
150.1456613731484,2.3518541268654003,4.4805
150.14734919005767,2.355165440974249,4.4805
150.1479841810431,2.3533152138538864,4.4805
150.14482586263352,2.3526891810659363,4.4805
150.14750108162627,2.3559903259934925,4.4805
150.1467805906371,2.355742529532144,4.4805
150.1444967132856,2.3535706260596188,4.4805
150.14372888791416,2.352000697315655,4.4805
150.1484439594982,2.352621238723569,4.4805
150.14407677988282,2.3541661349372855,4.4805
150.14394532447824,2.353399038451787,4.4805
150.14806309543422,2.352506849130942,4.4805
150.1479982457657,2.35303351591095,4.4805
150.14769342591404,2.355756679305552,4.4805
150.14389276540865,2.35383898850841,4.4805
150.14670960739235,2.3567815307707516,4.4805
150.1455947164238,2.353267500573066,4.4805
150.14872963047597,2.353695969155533,4.4805
150.1474119627077,2.356241354255325,4.4805
150.14626593630283,2.355855493155535,4.4805
150.14718145457508,2.3555187852679276,4.4805
150.1454441337377,2.3563891620276647,4.4805
150.1483112872467,2.353191508196887,4.4805
150.14766055578966,2.3530358776729785,4.4805
150.14473472040186,2.3535160533095496,4.4805
150.1442081140063,2.3524435904605814,4.4805
150.147728528958,2.3557254281766435,4.4805
