ra,dec,z_av
150.1274029762392,2.3601008362365516,2.9872666666666667
150.13198248508303,2.359403253183631,2.9872666666666667
150.13188077502275,2.361815716157569,2.9872666666666667
150.13087721294184,2.3638496539191247,2.9872666666666667
150.1286041350334,2.359667019091251,2.9872666666666667
150.13192552193456,2.3635882588074737,2.9872666666666667
150.12724902447187,2.3633193095727685,2.9872666666666667
150.12949117798684,2.3634079245072237,2.9872666666666667
150.12794410439952,2.361518895459592,2.9872666666666667
150.12715976823284,2.3592321794405398,2.9872666666666667
150.12921641953452,2.360348627175163,2.9872666666666667
150.12799809354783,2.360059877947419,2.9872666666666667
150.12897119200213,2.3592961230936447,2.9872666666666667
150.12883232386585,2.3629856622010648,2.9872666666666667
150.13093890255018,2.364045955847137,2.9872666666666667
150.1290479021187,2.359728926259596,2.9872666666666667
150.12864415243214,2.3599619172128126,2.9872666666666667
150.13120191341275,2.362646534731095,2.9872666666666667
150.12714334603862,2.360438170493174,2.9872666666666667
150.13180867939047,2.3627896644641533,2.9872666666666667
150.12746035820015,2.3640613296884987,2.9872666666666667
150.13083875365305,2.361517106606433,2.9872666666666667
150.12875945205883,2.3601347717148404,2.9872666666666667
150.12743552569444,2.3610163099131904,2.9872666666666667
150.12747428927787,2.3637018873821645,2.9872666666666667
150.1298598789533,2.3594360248286157,2.9872666666666667
150.12846724816652,2.35963978473408,2.9872666666666667
150.13038536463404,2.3635969792993587,2.9872666666666667
150.1314471489325,2.3605532726787724,2.9872666666666667
150.13147152193838,2.3625223688822383,2.9872666666666667
150.130573700611,2.3605888873111023,2.9872666666666667
150.13139617080617,2.361586908885005,2.9872666666666667
150.127584897142,2.3616946585307734,2.9872666666666667
150.13098529500846,2.3633670927469166,2.9872666666666667
150.13052027929606,2.364081958111861,2.9872666666666667
150.12805669887416,2.360547934753521,2.9872666666666667
150.12785005691453,2.3629178966414814,2.9872666666666667
150.12800065646547,2.361827775795265,2.9872666666666667
150.1279677159784,2.364071214405617,2.9872666666666667
150.13160489446838,2.3600706643195437,2.9872666666666667
150.12837285508692,2.3598869520944605,2.9872666666666667
150.1319947452944,2.3613629211840492,2.9872666666666667
150.12990615958958,2.359451349652437,2.9872666666666667
150.13188245206007,2.363700960410217,2.9872666666666667
150.12862560252964,2.3640715218006525,2.9872666666666667
150.1275742517569,2.3632704482780773,2.9872666666666667
150.13167541038337,2.359341242807446,2.9872666666666667
150.13079092854764,2.3638344939944345,2.9872666666666667
150.12791909085485,2.3628013519177924,2.9872666666666667
150.1309904160253,2.362199303671059,2.9872666666666667
150.13014541439082,2.3633201104760877,2.9872666666666667
150.12750186504798,2.3623153234474894,2.9872666666666667
150.1286909600353,2.3639811697631616,2.9872666666666667
