ra,dec,z_av
150.12043534713197,2.293033040620394,3.0044000000000004
150.12173073924382,2.2904650045614843,3.0044000000000004
150.12182939500886,2.2938610264411845,3.0044000000000004
150.120416996231,2.293151108452819,3.0044000000000004
150.1185900575811,2.2943956698417787,3.0044000000000004
150.1214248270843,2.2916839713184225,3.0044000000000004
150.11830713098126,2.2922111231903934,3.0044000000000004
150.11885872206113,2.2906013199248334,3.0044000000000004
150.12123583529703,2.2942395679324794,3.0044000000000004
150.11768661991806,2.291489487577927,3.0044000000000004
150.12000992473585,2.293182479425821,3.0044000000000004
150.11968850707146,2.2933324746345747,3.0044000000000004
150.12165604502223,2.289651998507355,3.0044000000000004
150.11785145931202,2.2910861695654665,3.0044000000000004
150.12134423184557,2.2897619771508366,3.0044000000000004
150.11791233411287,2.2909023297302253,3.0044000000000004
150.1192824280518,2.2906462715019167,3.0044000000000004
150.11757565024274,2.2929036129868976,3.0044000000000004
150.11798010686533,2.292820580186479,3.0044000000000004
150.12066985294322,2.291706640667681,3.0044000000000004
150.1184155662152,2.2921835274184614,3.0044000000000004
150.11819276068357,2.2924518893989907,3.0044000000000004
150.12072384163488,2.292021918163559,3.0044000000000004
150.11810653215903,2.2925758831008642,3.0044000000000004
150.1170696241787,2.290618979032315,3.0044000000000004
150.11965030794164,2.2898794472472574,3.0044000000000004
150.1195234584661,2.2906428453469774,3.0044000000000004
150.12167905279105,2.2942731338329634,3.0044000000000004
150.1196864590533,2.290013444343456,3.0044000000000004
150.12194471860116,2.2921995581325207,3.0044000000000004
150.11905081953992,2.2940924918740855,3.0044000000000004
150.1215125284821,2.291465981331811,3.0044000000000004
150.1182560311264,2.2934054832823616,3.0044000000000004
150.11837001953714,2.2935288955027544,3.0044000000000004
150.11721277048127,2.2923768186580094,3.0044000000000004
150.11721523979534,2.2913091093689313,3.0044000000000004
150.11884300778146,2.293420349288894,3.0044000000000004
150.1198711976427,2.2932773073133825,3.0044000000000004
